sample_ID,nest,site,trt,sex,ID,date,year,time,brood_size,bleed_time,mass,cort_ng
1,M20-20,N,C,F,07869,6/4/20,2020,14:01,4,124,10.6,0.3345
2,M11-21,N,T,F,07588,6/11/21,2021,13:05,4,180,10,0.0465
3,M35-22,N,T,F,07667,6/24/22,2022,12:10,2,285,9.25,1.51
4,C18,U,C,M,07426,6/15/21,2021,14:06,2,105,9.25,1.104
5,M34-20,N,T,F,07873,6/10/20,2020,14:27,7,240,10,1.538
6,A84,R,T,F,07638,7/29/21,2021,11:13,2,123,10,0.0935
7,M18,N,C,M,62516,6/2/20,2020,12:36,4,180,9.75,0.02515
8,C24,U,T,F,07089,6/18/20,2020,13:51,3,170,10.8,0.0008025
9,C23-21,U,T,M,07632,7/6/21,2021,12:16,4,133,9.3,0.2745
10,C22,U,T,F,07339,6/7/20,2020,13:30,3,180,10.3,0.1605
11,M18,N,C,F,07870,6/2/20,2020,13:08,4,154,11.4,2.674
12,A49,R,C,M,07606,6/13/21,2021,13:47,2,147,9.35,2.264
13,C23-22,U,T,M,47011,7/19/22,2022,14:20,2,167,10.5,0.2979
14,C23-20,U,C,F,07339,7/16/20,2020,12:38,3,195,9.25,1.538
15,C19b,U,C,M,07668,7/15/22,2022,11:46,4,104,8.75,2.716
16,M32-22,N,T,F,07691,7/18/22,2022,10:56,3,126,9.6,0.05875
17,M30,N,T,F,07882,6/12/20,2020,14:05,5,120,9.75,0.5782
18,C23-22,U,T,F,07663,7/19/22,2022,14:05,2,118,9.75,1.174
19,C33-20,U,C,M,07426,6/5/20,2020,14:52,4,113,9.5,1.455
20,C23-21,U,T,F,07619,7/5/21,2021,12:09,4,170,9.75,0.01226
21,C19-21,U,T,F,07425,7/19/21,2021,11:10,3,115,10.75,0.005504
22,M24-20,N,T,F,07871,6/4/20,2020,14:27,3,136,10.75,0.03528
23,M3-22,N,C,F,85797,5/31/22,2022,14:33,5,180,10.75,2.174
24,M30,N,T,M,07549,6/13/20,2020,14:28,5,103,10.7,0.07891
25,M12,N,T,F,85785,6/12/20,2020,13:22,4,275,11,2.139
26,M26,N,T,F,07644,7/3/22,2022,12:06,3,125,9.8,2.512
27,M22,N,T,M,07900,6/9/20,2020,12:49,1,140,10,0.4703
28,M27,N,C,F,07872,6/28/20,2020,12:00,2,240,10,2.104
29,C19-20,U,C,F,07558,7/4/20,2020,13:11,2,133,9.25,3.068
30,M28-22,N,C,M,07688,7/3/22,2022,12:35,3,165,10.15,0.6111
31,M20-22,N,T,F,07644,6/1/22,2022,11:57,3,129,10.25,0.0935
32,C18,U,C,F,07589,6/15/21,2021,13:43,2,150,9.75,3.7142
33,A69,R,T,M,07628,7/3/21,2021,11:55,3,225,10,1.223
34,M17-21,N,C,F,07587,6/8/21,2021,13:55,3,110,11,0.9926
35,M24-22,N,T,F,07602,6/21/22,2022,11:39,3,104,10.75,0.2409
36,M34-20,N,T,M,07899,6/8/20,2020,14:26,7,126,10.6,0.4134
37,M8-22,N,C,F,85837,6/5/22,2022,12:54,2,221,10.25,0.3099
38,M20-22,N,T,M,85836,6/3/22,2022,11:14,3,240,10.25,0.9289
39,C35,U,T,F,07887,6/14/20,2020,14:21,3,360,11.3,0.5621
40,M35-21,N,T,F,07603,6/22/21,2021,12:54,4,107,10.5,2.396
41,M3b,N,T,M,07612,7/13/22,2022,12:07,2,125,10.25,0.5945
42,M2,N,C,F,85788,6/8/20,2020,13:15,2,120,10.25,0.3863
43,M34-22,N,C,F,07692,7/20/22,2022,11:31,3,145,9.6,1.567
44,M16,N,T,M,07612,6/17/21,2021,13:40,3,120,10.25,1.567
45,M1,N,C,F,07877,6/9/20,2020,13:56,4,124,11,0.00867
46,M19,N,C,F,07553,7/2/20,2020,14:28,2,143,10,0.5152
47,M17-22,N,C,F,07643,6/3/22,2022,12:09,2,91,10.75,0.03007
48,C35,U,T,M,07557,6/16/20,2020,13:07,3,240,10,0.5945
49,M15,N,C,F,85797,6/5/20,2020,13:36,4,223,10.2,0.7334
50,M8-20,N,T,F,59153,7/15/20,2020,13:38,2,150,9.25,2.434
51,M8-22,N,C,M,85850,6/7/22,2022,12:07,2,146,10.75,0.00867
52,C19-22,U,T,F,07425,6/10/22,2022,11:53,3,164,10.8,0.36
53,A92,R,C,F,07646,6/4/22,2022,14:16,3,103,9.75,2.001
54,C33-22,U,C,M,07676,6/20/22,2022,12:10,2,212,9.5,3.24186
55,M11-22,N,C,F,85861,6/28/22,2022,11:38,3,156,9.75,0.04076
56,M10-20,N,C,F,07551,7/3/20,2020,12:14,2,360,9.5,0.6278
57,C24,U,T,M,07550,6/18/20,2020,14:10,3,170,10.9,0.6621
58,M4,N,C,F,07602,6/24/21,2021,12:04,3,163,10,1.127
59,M9,N,C,F,07868,5/31/20,2020,14:03,3,360,11,0.02053
60,C19b,U,C,F,07666,7/15/22,2022,11:29,4,322,9.5,1.272
61,M19,N,C,M,07572,7/2/20,2020,14:52,2,210,9.1,1.272
62,M8-21,N,C,F,85797,6/7/21,2021,14:06,3,240,10.25,2.246
63,M5,N,T,F,59164,6/8/20,2020,13:43,1,103,10.75,0.109
64,A92b,R,T,M,47001,7/14/22,2022,13:45,4,135,10.25,0.9926
65,C33-20,U,C,F,07508,6/5/20,2020,14:39,4,180,10.5,1.223
66,A92b,R,T,F,07646,7/14/22,2022,13:22,4,143,10.5,0.3997
67,C19-21,U,T,M,07426,7/19/21,2021,11:23,3,170,9.75,2.035
68,M3-20,N,T,F,07874,6/8/20,2020,14:14,2,110,11.5,0.01226
69,C19-22,U,T,M,07668,6/10/22,2022,12:38,3,121,10.25,0.2409
70,C33-22,U,C,F,07660,6/19/22,2022,12:32,2,165,10.25,3.89956
71,A69,R,T,F,07614,7/1/21,2021,12:03,3,180,10.75,0.9289
72,C19-20,U,C,M,07576,7/4/20,2020,13:38,2,240,9.75,3.991
73,C21,U,C,F,07878,6/14/20,2020,13:58,3,111,10,2.283
74,M28-20,N,T,F,07548,6/13/20,2020,13:39,6,176,11.2,0.8086
75,C16,U,C,F,07589,7/31/21,2021,10:13,2,105,8.9,2.32
76,M10-20,N,C,M,07575,7/3/20,2020,12:41,2,145,10.25,1.455