frassID,site,date,year,mass_g,mass_mg,Julian,temp,biomass_mg,biomass
A54,R,4/30/20,2020,0.0104,10.4,123,18.27,107.815864,0.107815864
A96,R,4/30/20,2020,0.0084,8.4,123,18.27,87.082044,0.087082044
C16,U,4/30/20,2020,0.0023,2.3,123,18.27,23.843893,0.023843893
C30 ,U,4/30/20,2020,0.0022,2.2,123,18.27,22.807202,0.022807202
M33,N,5/7/20,2020,0.1329,132.9,130,15.19,1691.719983,1.691719983
M3 ,N,5/7/20,2020,0.1207,120.7,130,15.19,1536.422889,1.536422889
C30 ,U,5/7/20,2020,0.014,14,130,15.19,178.20978,0.17820978
C16,U,5/7/20,2020,0.0076,7.6,130,15.19,96.742452,0.096742452
A96,R,5/7/20,2020,0.0032,3.2,130,15.19,40.733664,0.040733664
A54,R,5/14/20,2020,0.2784,278.4,137,15.87,3398.626464,3.398626464
M3,N,5/14/20,2020,0.2276,227.6,137,15.87,2778.474796,2.778474796
M33,N,5/14/20,2020,0.2204,220.4,137,15.87,2690.579284,2.690579284
C30,U,5/14/20,2020,0.1321,132.1,137,15.87,1612.638491,1.612638491
A96,R,5/14/20,2020,0.0748,74.8,137,15.87,913.136708,0.913136708
C16,U,5/14/20,2020,0.021,21,137,15.87,256.36191,0.25636191
A54,R,5/17/20,2020,0.1003,100.3,137,14.22,1351.367978,1.351367978
A54,R,5/21/20,2020,0.1729,172.9,144,13.34,2446.227238,2.446227238
M33,N,5/21/20,2020,0.1202,120.2,144,13.34,1700.616044,1.700616044
M3 ,N,5/21/20,2020,0.0876,87.6,144,13.34,1239.384072,1.239384072
A96,R,5/21/20,2020,0.0531,53.1,144,13.34,751.270482,0.751270482
C16,U,5/21/20,2020,0.0308,30.8,144,13.34,435.765176,0.435765176
C30,U,5/21/20,2020,0.0259,25.9,144,13.34,366.438898,0.366438898
A74,R,5/28/20,2020,0.3124,312.4,151,19.69,2898.375348,2.898375348
A54,R,5/28/20,2020,0.1697,169.7,151,19.69,1574.437569,1.574437569
M3 ,N,5/28/20,2020,0.1587,158.7,151,19.69,1472.382099,1.472382099
M33,N,5/28/20,2020,0.1357,135.7,151,19.69,1258.993389,1.258993389
C16,U,5/28/20,2020,0.0636,63.6,151,19.69,590.066172,0.590066172
C30,U,5/28/20,2020,0.0594,59.4,151,19.69,551.099538,0.551099538
A74,R,6/4/20,2020,0.4103,410.3,158,21.32,3293.707868,3.293707868
A54,R,6/4/20,2020,0.2532,253.2,158,21.32,2032.578192,2.032578192
M33,N,6/4/20,2020,0.1183,118.3,158,21.32,949.660348,0.949660348
M3 ,N,6/4/20,2020,0.1003,100.3,158,21.32,805.164268,0.805164268
C30 ,U,6/4/20,2020,0.0482,48.2,158,21.32,386.928392,0.386928392
A54,R,6/11/20,2020,0.1679,167.9,165,17,1904.1539,1.9041539
A74,R,6/11/20,2020,0.0381,38.1,165,17,432.0921,0.4320921
M33,N,6/11/20,2020,0.033,33,165,17,374.253,0.374253
M3,N,6/11/20,2020,0.025,25,165,17,283.525,0.283525
C16,U,6/11/20,2020,0.0123,12.3,165,17,139.4943,0.1394943
C30,U,6/11/20,2020,0.0045,4.5,165,17,51.0345,0.0510345
C16,U,6/14/20,2020,0.0189,18.9,165,17.57,206.082009,0.206082009
A54,R,6/18/20,2020,0.1403,140.3,172,16.87,1605.131613,1.605131613
M33,N,6/18/20,2020,0.0433,43.3,172,16.87,495.382743,0.495382743
M3 ,N,6/18/20,2020,0.0241,24.1,172,16.87,275.721111,0.275721111
A74,R,6/18/20,2020,0.0063,6.3,172,16.87,72.076473,0.072076473
C16,U,6/18/20,2020,0.006,6,172,16.87,68.64426,0.06864426
C30,U,6/18/20,2020,0.0001,0.1,172,16.87,1.144071,0.001144071
M13,N,6/21/20,2020,0.0534,53.4,172,20.02,481.916844,0.481916844
A74,R,6/25/20,2020,0.0356,35.6,179,25.74,165.092152,0.165092152
M33,N,6/25/20,2020,0.0304,30.4,179,25.74,140.977568,0.140977568
C16,U,6/25/20,2020,0.0293,29.3,179,25.74,135.876406,0.135876406
A54,R,6/25/20,2020,0.024,24,179,25.74,111.29808,0.11129808
C30,U,6/25/20,2020,0.0071,7.1,179,25.74,32.925682,0.032925682
M3,N,6/26/20,2020,0.0323,32.3,179,26.53,130.217127,0.130217127
A74,R,7/2/20,2020,0.0399,39.9,186,22.17,294.286839,0.294286839
M3,N,7/2/20,2020,0.0293,29.3,186,22.17,216.105373,0.216105373
A54,R,7/2/20,2020,0.0287,28.7,186,22.17,211.680007,0.211680007
M33,N,7/2/20,2020,0.0203,20.3,186,22.17,149.724883,0.149724883
C30,U,7/2/20,2020,0.0196,19.6,186,22.17,144.561956,0.144561956
C16,U,7/2/20,2020,0.0022,2.2,186,22.17,16.226342,0.016226342
C30,U,7/9/20,2020,0.1302,130.2,193,23,877.4178,0.8774178
M33,N,7/9/20,2020,0.0156,15.6,193,23,105.1284,0.1051284
M3,N,7/9/20,2020,0.0154,15.4,193,23,103.7806,0.1037806
C16,U,7/9/20,2020,0.002,2,193,23,13.478,0.013478
A54,R,7/10/20,2020,0.0576,57.6,193,23.37,371.820096,0.371820096
A74,R,7/10/20,2020,0.0273,27.3,193,23.37,176.227233,0.176227233
A54,R,7/16/20,2020,0.0287,28.7,200,26.46,117.244666,0.117244666
M3,N,7/16/20,2020,0.0264,26.4,200,26.46,107.848752,0.107848752
M33,N,7/16/20,2020,0.0174,17.4,200,26.46,71.082132,0.071082132
A74,R,7/16/20,2020,0.0173,17.3,200,26.46,70.673614,0.070673614
C30,U,7/16/20,2020,0.0034,3.4,200,26.46,13.889612,0.013889612
C16,U,7/16/20,2020,0.0005,0.5,200,26.46,2.04259,0.00204259
M3,N,7/23/20,2020,0.0772,77.2,207,26.34,322.481384,0.322481384
M33,N,7/23/20,2020,0.0194,19.4,207,26.34,81.038068,0.081038068
A54,R,7/23/20,2020,0.0164,16.4,207,26.34,68.506408,0.068506408
A74,R,7/23/20,2020,0.0113,11.3,207,26.34,47.202586,0.047202586
C30,U,7/23/20,2020,0.008,8,207,26.34,33.41776,0.03341776
C16,U,7/23/20,2020,0.003,3,207,26.34,12.53166,0.01253166
M4,N,5/4/21,2021,0.573,573,123,16.3,6806.0367,6.8060367
M33,N,5/4/21,2021,0.2499,249.9,123,16.3,2968.28721,2.96828721
A93,R,5/4/21,2021,0.0372,37.2,123,16.3,441.85788,0.44185788
A54,R,5/4/21,2021,0.0112,11.2,123,16.3,133.03248,0.13303248
C30,U,5/4/21,2021,0.0018,1.8,123,16.3,21.38022,0.02138022
C16,U,5/4/21,2021,0.0013,1.3,123,16.3,15.44127,0.01544127
M4,N,5/11/21,2021,2.8049,2804.9,130,16.56,32756.96855,32.75696855
M33,N,5/11/21,2021,1.331,1331,130,16.56,15544.05688,15.54405688
A74,R,5/11/21,2021,0.1162,116.2,130,16.56,1357.039376,1.357039376
C30 ,U,5/11/21,2021,0.0231,23.1,130,16.56,269.772888,0.269772888
M4,N,5/18/21,2021,1.6286,1628.6,137,18.39,16733.65328,16.73365328
M33,N,5/18/21,2021,1.2117,1211.7,137,18.39,12450.05998,12.45005998
A102,R,5/18/21,2021,0.1728,172.8,137,18.39,1775.497536,1.775497536
C30 ,U,5/18/21,2021,0.0471,47.1,137,18.39,483.946377,0.483946377
C16,U,5/18/21,2021,0.0089,8.9,137,18.39,91.446343,0.091446343
M4,N,5/25/21,2021,0.2968,296.8,144,11.67,4579.359848,4.579359848
A102,R,5/25/21,2021,0.2107,210.7,144,11.67,3250.913477,3.250913477
M33,N,5/25/21,2021,0.1355,135.5,144,11.67,2090.644405,2.090644405
C16,U,5/25/21,2021,0.0112,11.2,144,11.67,172.806032,0.172806032
C36,U,5/25/21,2021,0.0103,10.3,144,11.67,158.919833,0.158919833
A71,R,5/25/21,2021,0.0005,0.5,144,11.67,7.714555,0.007714555
M4,N,6/1/21,2021,0.4005,400.5,151,21.06,3294.90549,3.29490549
M33,N,6/1/21,2021,0.3037,303.7,151,21.06,2498.533826,2.498533826
A102,R,6/1/21,2021,0.2133,213.3,151,21.06,1754.814834,1.754814834
A71,R,6/1/21,2021,0.0482,48.2,151,21.06,396.540436,0.396540436
C16,U,6/1/21,2021,0.0053,5.3,151,21.06,43.602994,0.043602994
C36,U,6/1/21,2021,0.0045,4.5,151,21.06,37.02141,0.03702141
M4,N,6/8/21,2021,0.3929,392.9,158,23.52,2491.048864,2.491048864
A102,R,6/8/21,2021,0.1021,102.1,158,23.52,647.330336,0.647330336
M33,N,6/8/21,2021,0.0689,68.9,158,23.52,436.837024,0.436837024
A71,R,6/8/21,2021,0.0356,35.6,158,23.52,225.709696,0.225709696
C36,U,6/8/21,2021,0.0043,4.3,158,23.52,27.262688,0.027262688
C16,U,6/8/21,2021,0.003,3,158,23.52,19.02048,0.01902048
M4,N,6/15/21,2021,0.0829,82.9,165,19.39,788.202423,0.788202423
M33,N,6/15/21,2021,0.0799,79.9,165,19.39,759.678813,0.759678813
A102,R,6/15/21,2021,0.0213,21.3,165,19.39,202.517631,0.202517631
C16,U,6/15/21,2021,0.0053,5.3,165,19.39,50.391711,0.050391711
C36,U,6/15/21,2021,0.0053,5.3,165,19.39,50.391711,0.050391711
A71,R,6/15/21,2021,0.0043,4.3,165,19.39,40.883841,0.040883841
M33,N,6/22/21,2021,0.2801,280.1,172,27.35,953.054255,0.953054255
M4,N,6/22/21,2021,0.0932,93.2,172,27.35,317.11766,0.31711766
A102,R,6/22/21,2021,0.0371,37.1,172,27.35,126.234605,0.126234605
A71,R,6/22/21,2021,0.0081,8.1,172,27.35,27.560655,0.027560655
C36,U,6/22/21,2021,0.0042,4.2,172,27.35,14.29071,0.01429071
C16,U,6/22/21,2021,0.0019,1.9,172,27.35,6.464845,0.006464845
M4,N,6/29/21,2021,0.0294,29.4,179,26.66,115.594332,0.115594332
M34,N,6/29/21,2021,0.0249,24.9,179,26.66,97.901322,0.097901322
A102,R,6/29/21,2021,0.0155,15.5,179,26.66,60.94259,0.06094259
A71,R,6/29/21,2021,0.0101,10.1,179,26.66,39.710978,0.039710978
C16,U,6/29/21,2021,0.0088,8.8,179,26.66,34.599664,0.034599664
C36,U,6/29/21,2021,0.0064,6.4,179,26.66,25.163392,0.025163392
M4,N,7/6/21,2021,0.0843,84.3,186,27.74,261.618306,0.261618306
A102,R,7/6/21,2021,0.0168,16.8,186,27.74,52.137456,0.052137456
A71,R,7/6/21,2021,0.0149,14.9,186,27.74,46.240958,0.046240958
M33,N,7/6/21,2021,0.0145,14.5,186,27.74,44.99959,0.04499959
C16,U,7/6/21,2021,0.0072,7.2,186,27.74,22.344624,0.022344624
C36,U,7/6/21,2021,0.0065,6.5,186,27.74,20.17223,0.02017223
M4,N,7/13/21,2021,0.1086,108.6,193,30.58,100.470204,0.100470204
M34,N,7/13/21,2021,0.0459,45.9,193,30.58,42.463926,0.042463926
A102,R,7/13/21,2021,0.0167,16.7,193,30.58,15.449838,0.015449838
A71,R,7/13/21,2021,0.0061,6.1,193,30.58,5.643354,0.005643354
C16,U,7/13/21,2021,0.0054,5.4,193,30.58,4.995756,0.004995756
C36,U,7/13/21,2021,0.0016,1.6,193,30.58,1.480224,0.001480224
A102,R,7/20/21,2021,0.075,75,200,26.24,319.044,0.319044
M33,N,7/20/21,2021,0.0188,18.8,200,26.24,79.973696,0.079973696
M4,N,7/20/21,2021,0.0183,18.3,200,26.24,77.846736,0.077846736
C16,U,7/20/21,2021,0.0105,10.5,200,26.24,44.66616,0.04466616
C36,U,7/20/21,2021,0.0089,8.9,200,26.24,37.859888,0.037859888
A71,R,7/20/21,2021,0.0066,6.6,200,26.24,28.075872,0.028075872
M4,N,7/27/21,2021,0.0522,52.2,207,27.52,170.806752,0.170806752
C16,U,7/27/21,2021,0.0153,15.3,207,27.52,50.064048,0.050064048
M34,N,7/27/21,2021,0.0126,12.6,207,27.52,41.229216,0.041229216
A102,R,7/27/21,2021,0.0059,5.9,207,27.52,19.305744,0.019305744
C36,U,7/27/21,2021,0.0025,2.5,207,27.52,8.1804,0.0081804
A71,R,7/27/21,2021,0.0021,2.1,207,27.52,6.871536,0.006871536
M4,N,8/3/21,2021,0.0762,76.2,214,26.31,320.057526,0.320057526
M34,N,8/3/21,2021,0.0315,31.5,214,26.31,132.307245,0.132307245
A72,R,8/3/21,2021,0.0131,13.1,214,26.31,55.023013,0.055023013
A102,R,8/3/21,2021,0.0103,10.3,214,26.31,43.262369,0.043262369
C16,U,8/3/21,2021,0.0103,10.3,214,26.31,43.262369,0.043262369
C36,U,8/3/21,2021,0.0017,1.7,214,26.31,7.140391,0.007140391
M34,N,5/5/22,2022,1.1754,1175.4,123,13.49,16494.58802,16.49458802
M4,N,5/5/22,2022,0.3427,342.7,123,13.49,4809.167359,4.809167359
A92,R,5/5/22,2022,0.0687,68.7,123,13.49,964.078779,0.964078779
A102,R,5/5/22,2022,0.0581,58.1,123,13.49,815.327177,0.815327177
C16,U,5/5/22,2022,0.0022,2.2,123,13.49,30.872974,0.030872974
C29,U,5/5/22,2022,0.0008,0.8,123,13.49,11.226536,0.011226536
M33,N,5/12/22,2022,2.6227,2622.7,130,8.77,46299.59841,46.29959841
M4,N,5/12/22,2022,1.1321,1132.1,130,8.77,19985.42546,19.98542546
A71,R,5/12/22,2022,0.0346,34.6,130,8.77,610.807986,0.610807986
A102,R,5/12/22,2022,0.0236,23.6,130,8.77,416.620476,0.416620476
C29,U,5/12/22,2022,0.0042,4.2,130,8.77,74.144322,0.074144322
C16,U,5/12/22,2022,0.0021,2.1,130,8.77,37.072161,0.037072161
M33,N,5/19/22,2022,3.159,3159,137,19.06,30834.93582,30.83493582
M4,N,5/19/22,2022,0.6089,608.9,137,19.06,5943.460722,5.943460722
A71,R,5/19/22,2022,0.1345,134.5,137,19.06,1312.85181,1.31285181
A102,R,5/19/22,2022,0.0699,69.9,137,19.06,682.292502,0.682292502
C29,U,5/19/22,2022,0.0246,24.6,137,19.06,240.120108,0.240120108
C16,U,5/19/22,2022,0.0051,5.1,137,19.06,49.780998,0.049780998
M34,N,5/26/22,2022,1.9816,1981.6,144,18.17,20695.05758,20.69505758
M4,N,5/26/22,2022,1.0286,1028.6,144,18.17,10742.29725,10.74229725
A102,R,5/26/22,2022,0.1785,178.5,144,18.17,1864.184385,1.864184385
A71,R,5/26/22,2022,0.0701,70.1,144,18.17,732.097061,0.732097061
C29,U,5/26/22,2022,0.0115,11.5,144,18.17,120.101515,0.120101515
C16,U,5/26/22,2022,0.0096,9.6,144,18.17,100.258656,0.100258656
A102,R,6/2/22,2022,0.6477,647.7,151,16.28,7703.251548,7.703251548
M34,N,6/2/22,2022,0.5489,548.9,151,16.28,6528.199436,6.528199436
M4,N,6/2/22,2022,0.5119,511.9,151,16.28,6088.149556,6.088149556
A71,R,6/2/22,2022,0.0739,73.9,151,16.28,878.910436,0.878910436
C29,U,6/2/22,2022,0.0201,20.1,179,16.28,239.054124,0.239054124
C16,U,6/2/22,2022,0.0012,1.2,151,16.28,14.271888,0.014271888
A102,R,6/9/22,2022,0.7829,782.9,158,20.52,6765.164164,6.765164164
M3 ,N,6/9/22,2022,0.3814,381.4,158,20.52,3295.738424,3.295738424
C29,U,6/9/22,2022,0.046,46,151,20.52,397.49336,0.39749336
A71,R,6/9/22,2022,0.0417,41.7,158,20.52,360.336372,0.360336372
C16,U,6/9/22,2022,0.0171,17.1,158,20.52,147.763836,0.147763836
M33,N,6/10/22,2022,0.6231,623.1,158,21.43,4949.401689,4.949401689
A102,R,6/16/22,2022,0.2855,285.5,165,21.47,2259.021605,2.259021605
M34,N,6/16/22,2022,0.1586,158.6,165,21.47,1254.924086,1.254924086
M4,N,6/16/22,2022,0.1481,148.1,165,21.47,1171.842731,1.171842731
A72,R,6/16/22,2022,0.0194,19.4,165,21.47,153.502694,0.153502694
C16,U,6/16/22,2022,0.0049,4.9,158,21.47,38.771299,0.038771299
C29,U,6/16/22,2022,0.0042,4.2,165,21.47,33.232542,0.033232542
M34,N,6/23/22,2022,0.1251,125.1,172,18.56,1269.074448,1.269074448
M4,N,6/23/22,2022,0.0886,88.6,172,18.56,898.800928,0.898800928
A102,R,6/23/22,2022,0.0296,29.6,172,18.56,300.276608,0.300276608
A71,R,6/23/22,2022,0.0136,13.6,172,18.56,137.964928,0.137964928
C16,U,6/23/22,2022,0.0034,3.4,186,18.56,34.491232,0.034491232
C29,U,6/26/22,2022,0.0028,2.8,165,23.22,18.396728,0.018396728
M4,N,6/30/22,2022,0.1302,130.2,179,25.67,610.782522,0.610782522
M34,N,6/30/22,2022,0.0915,91.5,179,25.67,429.236565,0.429236565
A102,R,6/30/22,2022,0.0167,16.7,179,25.67,78.341537,0.078341537
A71,R,6/30/22,2022,0.0119,11.9,179,25.67,55.824209,0.055824209
C29,U,6/30/22,2022,0.0005,0.5,186,25.67,2.345555,0.002345555
C16,U,6/30/22,2022,0.0003,0.3,193,25.67,1.407333,0.001407333
M4,N,7/7/22,2022,0.0491,49.1,186,21.87,373.440361,0.373440361
M34,N,7/7/22,2022,0.0289,28.9,186,21.87,219.805019,0.219805019
A102,R,7/7/22,2022,0.0036,3.6,186,21.87,27.380556,0.027380556
C16,U,7/7/22,2022,0.0022,2.2,172,21.87,16.732562,0.016732562
C29,U,7/7/22,2022,0.0005,0.5,193,21.87,3.802855,0.003802855
A71,R,7/7/22,2022,0.0004,0.4,186,21.87,3.042284,0.003042284
M34,N,7/14/22,2022,0.0854,85.4,193,26.73,331.188886,0.331188886
M4,N,7/14/22,2022,0.0575,57.5,193,26.73,222.990175,0.222990175
A71,R,7/14/22,2022,0.0511,51.1,193,26.73,198.170399,0.198170399
A102,R,7/14/22,2022,0.0195,19.5,193,26.73,75.622755,0.075622755
C16,U,7/14/22,2022,0.0014,1.4,179,26.73,5.429326,0.005429326
C29,U,7/14/22,2022,0.0003,0.3,179,26.73,1.163427,0.001163427
M34,N,7/21/22,2022,0.0624,62.4,200,28.61,152.014512,0.152014512
M4,N,7/21/22,2022,0.0457,45.7,200,28.61,111.331141,0.111331141
A102,R,7/21/22,2022,0.0353,35.3,200,28.61,85.995389,0.085995389
C16,U,7/21/22,2022,0.0222,22.2,200,28.61,54.082086,0.054082086
A71,R,7/21/22,2022,0.0085,8.5,200,28.61,20.707105,0.020707105
C29,U,7/21/22,2022,0.0008,0.8,200,28.61,1.948904,0.001948904
M4,N,7/28/22,2022,0.1565,156.5,207,28.82,356.04689,0.35604689
M34,N,7/28/22,2022,0.0973,97.3,207,28.82,221.363338,0.221363338
A102,R,7/28/22,2022,0.0631,63.1,207,28.82,143.556286,0.143556286
A71,R,7/28/22,2022,0.0152,15.2,207,28.82,34.580912,0.034580912
C29,U,7/28/22,2022,0.0065,6.5,207,28.82,14.78789,0.01478789
C16,U,7/28/22,2022,0.0001,0.1,207,28.82,0.227506,0.000227506
M4,N,8/4/22,2022,0.1072,107.2,214,27.78,329.397728,0.329397728
A71,R,8/4/22,2022,0.0251,25.1,214,27.78,77.125774,0.077125774
A102,R,8/4/22,2022,0.0194,19.4,214,27.78,59.611156,0.059611156
C16,U,8/4/22,2022,0.0192,19.2,214,27.78,58.996608,0.058996608
M34,N,8/4/22,2022,0.0096,9.6,214,27.78,29.498304,0.029498304
C19,U,8/4/22,2022,0.0019,1.9,214,27.78,5.838206,0.005838206