curves,standard,cort,cort_bound,T,T_bound,T4,T4_bound
Kit Standard Curve,S1,9952,10.25,10531,10.08,2110.5,16
Kit Standard Curve,S2,4934.5,15.55,3680.5,17.45,1039.45,26.25
Kit Standard Curve,S3,2553.5,23.35,1716,25.8,476.3,43.8
Kit Standard Curve,S4,1240,35.5,662.55,40.1,280.35,60.55
Kit Standard Curve,S5,635.2,49.3,236.95,56.1,109.3,85.8
Kit Standard Curve,S6,302.2,65.2,118.075,66.3,67.601,94.1
Kit Standard Curve,S7,162.95,76.95,40.35,77.45,,
Kit Standard Curve,S8,79.765,86.75,,,,
Kit Standard Curve,S9,39.715,93.5,,,,
Spiked Yolk Curve,SE1,12620,9.025,8336,11.35,1116.5,24.1
Spiked Yolk Curve,SE2,5231,15.05,3235,19.05,561.4,39.6
Spiked Yolk Curve,SE3,2346.5,24.6,1186,30.8,244.85,64.3
Spiked Yolk Curve,SE4,1177,36.45,571.85,42,154.4,78.3
Spiked Yolk Curve,SE5,610.25,50.3,191.3,59.4,72.335,93.2
Spiked Yolk Curve,SE6,309.9,64.75,49.135,75.95,40.54,103
Spiked Yolk Curve,SE7,150.4,78.1,,,,
Spiked Yolk Curve,SE8,89.2,87.15,,,,
Spiked Yolk Curve,SE9,47.425,91.85,,,,